0:	0011100010001001100100101010010011001000100011100
1:	0001000001100001010000001000000100000010000111110
2:	0011100010001000000100000100000100000100000111110
3:	0011100010001000000100001100000001001000100011100
4:	0000100000110000101000100100011111000001000000100
5:	0111110010000001000000011100000001001000100011100
6:	0011100010000001000000111100010001001000100011100
7:	0111110000001000001000000100000100000010000001000
8:	0011100010001001000100011100010001001000100011100
b:	0001000011111001011101111111011111001111100001000

reversed:
0:	0011100010001001100100101010010011001000100011100
1:	0111110000100000010000001000000101000011000001000
2:	0111110000010000010000010000010000001000100011100
3:	0011100010001001000000011000010000001000100011100
4:	0010000001000001111100010010001010000110000010000
5:	0011100010001001000000011100000001000000100111110
6:	0011100010001001000100011110000001000000100011100
7:	0001000000100000010000010000001000001000000111110
8:	0011100010001001000100011100010001001000100011100
b:	0001000011111001111101111111011101001111100001000
